;Flow ID;Src IP;Src Port;Dst IP;Dst Port;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min
1231333;172.31.69.25-18.219.193.20-80-54376-6;18.219.193.20;54376;172.31.69.25;80;16/02/2018 11:23:39 PM;31101;1;1;0.0;0.0;0.0;0.0
3120600;172.31.69.25-18.219.193.20-80-52096-6;172.31.69.25;80;18.219.193.20;52096;16/02/2018 11:24:37 PM;4280715;4;5;935.0;322.0;935.0;0.0
3065840;172.31.69.25-18.219.193.20-80-41980-6;172.31.69.25;80;18.219.193.20;41980;16/02/2018 11:24:13 PM;4344537;4;4;935.0;326.0;935.0;0.0
2626130;172.31.69.25-18.219.193.20-80-36408-6;172.31.69.25;80;18.219.193.20;36408;16/02/2018 11:21:01 PM;3355571;4;4;935.0;313.0;935.0;0.0
2090134;172.31.69.28-18.216.200.189-80-55013-6;172.31.69.28;80;18.216.200.189;55013;22/02/2018 12:29:57 AM;73092;4;3;935.0;248.0;935.0;0.0
3062890;172.31.69.25-18.219.193.20-80-33880-6;172.31.69.25;80;18.219.193.20;33880;16/02/2018 11:24:12 PM;4383712;4;4;935.0;347.0;935.0;0.0
3520045;172.31.69.25-18.219.193.20-80-38524-6;172.31.69.25;80;18.219.193.20;38524;16/02/2018 11:27:34 PM;4348228;4;4;935.0;319.0;935.0;0.0
863461;172.31.69.25-18.219.193.20-80-60856-6;18.219.193.20;60856;172.31.69.25;80;16/02/2018 11:20:55 PM;44160;1;1;0.0;0.0;0.0;0.0
202860;172.31.69.25-18.219.193.20-80-60762-6;18.219.193.20;60762;172.31.69.25;80;16/02/2018 11:16:03 PM;1847;1;1;0.0;0.0;0.0;0.0
610182;172.31.69.28-18.216.200.189-80-63974-6;18.216.200.189;63974;172.31.69.28;80;21/02/2018 11:59:51 PM;1680;1;1;0.0;0.0;0.0;0.0
1824292;172.31.69.28-18.219.9.1-80-63450-6;172.31.69.28;80;18.219.9.1;63450;22/02/2018 12:13:57 AM;76598;4;3;935.0;324.0;935.0;0.0
1189232;172.31.69.28-18.216.200.189-80-56997-6;18.216.200.189;56997;172.31.69.28;80;22/02/2018 12:31:19 AM;29616;1;1;0.0;0.0;0.0;0.0
2358237;172.31.69.25-18.219.193.20-80-58252-6;172.31.69.25;80;18.219.193.20;58252;16/02/2018 11:18:07 PM;60565457;4;5;935.0;395.0;935.0;0.0
3432536;172.31.69.25-18.219.193.20-80-49626-6;172.31.69.25;80;18.219.193.20;49626;16/02/2018 11:26:55 PM;4496178;3;6;935.0;294.0;935.0;0.0
2098262;172.31.69.28-18.218.55.126-80-57490-6;172.31.69.28;80;18.218.55.126;57490;22/02/2018 12:30:31 AM;3181;4;3;935.0;309.0;935.0;0.0
1793959;172.31.69.28-18.218.229.235-80-57971-6;172.31.69.28;80;18.218.229.235;57971;22/02/2018 12:12:23 AM;1217;4;3;935.0;341.0;935.0;0.0
1320136;172.31.69.28-52.14.136.135-80-61847-6;172.31.69.28;80;52.14.136.135;61847;21/02/2018 11:50:59 PM;1183;4;3;935.0;315.0;935.0;0.0
856380;172.31.69.28-18.218.11.51-80-56008-6;18.218.11.51;56008;172.31.69.28;80;22/02/2018 12:11:30 AM;2012;1;1;0.0;0.0;0.0;0.0
2603363;172.31.69.25-18.219.193.20-80-59420-6;172.31.69.25;80;18.219.193.20;59420;16/02/2018 11:20:50 PM;4381384;4;4;935.0;296.0;935.0;0.0
958462;172.31.69.25-18.219.193.20-80-43938-6;18.219.193.20;43938;172.31.69.25;80;16/02/2018 11:21:37 PM;2264;1;1;0.0;0.0;0.0;0.0
1903972;172.31.69.28-18.218.115.60-80-50703-6;172.31.69.28;80;18.218.115.60;50703;22/02/2018 12:18:08 AM;1396;4;3;935.0;299.0;935.0;0.0
162691;172.31.69.25-18.216.24.42-80-50825-6;18.216.24.42;50825;172.31.69.25;80;20/02/2018 10:49:08;947083;3;4;20.0;964.0;20.0;0.0
220977;172.31.69.25-18.219.193.20-80-57852-6;18.219.193.20;57852;172.31.69.25;80;16/02/2018 11:16:11 PM;432;1;1;0.0;0.0;0.0;0.0
375546;172.31.69.25-18.218.229.235-80-62180-6;18.218.229.235;62180;172.31.69.25;80;20/02/2018 11:12:29;1085001;3;4;20.0;964.0;20.0;0.0
869160;172.31.69.28-18.219.9.1-80-59928-6;18.219.9.1;59928;172.31.69.28;80;22/02/2018 12:12:09 AM;1566;1;1;0.0;0.0;0.0;0.0
2768721;172.31.69.25-18.219.193.20-80-34210-6;172.31.69.25;80;18.219.193.20;34210;16/02/2018 11:22:03 PM;4120484;4;4;935.0;412.0;935.0;0.0
1604221;172.31.69.25-18.219.193.20-80-44848-6;18.219.193.20;44848;172.31.69.25;80;16/02/2018 11:26:28 PM;18150;1;1;0.0;0.0;0.0;0.0
1064440;172.31.69.28-18.218.229.235-80-60889-6;18.218.229.235;60889;172.31.69.28;80;22/02/2018 12:22:46 AM;1889;1;1;0.0;0.0;0.0;0.0
466637;172.31.69.28-18.218.229.235-80-49557-6;18.218.229.235;49557;172.31.69.28;80;21/02/2018 11:53:47 PM;26567;1;1;0.0;0.0;0.0;0.0
3151028;172.31.69.25-18.219.193.20-80-53392-6;172.31.69.25;80;18.219.193.20;53392;16/02/2018 11:24:50 PM;4512484;4;4;935.0;368.0;935.0;0.0
541777;172.31.69.25-18.218.11.51-80-62289-6;18.218.11.51;62289;172.31.69.25;80;20/02/2018 11:14:13;33293110;2;0;0.0;0.0;0.0;0.0
1338064;172.31.69.25-18.219.193.20-80-50912-6;18.219.193.20;50912;172.31.69.25;80;16/02/2018 11:24:28 PM;5957;1;1;0.0;0.0;0.0;0.0
373915;172.31.69.28-18.218.115.60-80-54859-6;18.218.115.60;54859;172.31.69.28;80;21/02/2018 11:49:55 PM;7538;1;1;0.0;0.0;0.0;0.0
3437039;172.31.69.25-18.219.193.20-80-33896-6;172.31.69.25;80;18.219.193.20;33896;16/02/2018 11:26:57 PM;4466223;4;4;935.0;323.0;935.0;0.0
2271048;172.31.69.25-18.219.193.20-80-39962-6;172.31.69.25;80;18.219.193.20;39962;16/02/2018 11:18:26 PM;4321980;4;4;935.0;394.0;935.0;0.0
262741;172.31.69.25-52.14.136.135-80-56387-6;52.14.136.135;56387;172.31.69.25;80;20/02/2018 11:00:10;1311236;3;4;20.0;964.0;20.0;0.0
1971224;172.31.69.25-18.219.193.20-80-42766-6;172.31.69.25;80;18.219.193.20;42766;16/02/2018 11:16:17 PM;4282433;4;4;935.0;367.0;935.0;0.0
1429248;172.31.69.28-18.216.24.42-80-53918-6;172.31.69.28;80;18.216.24.42;53918;21/02/2018 11:55:33 PM;16873;4;3;935.0;312.0;935.0;0.0
1012750;172.31.69.28-18.219.32.43-80-57826-6;18.219.32.43;57826;172.31.69.28;80;22/02/2018 12:19:42 AM;31358;1;1;0.0;0.0;0.0;0.0
2180787;172.31.69.25-18.219.193.20-80-40694-6;172.31.69.25;80;18.219.193.20;40694;16/02/2018 11:16:47 PM;64564546;4;5;935.0;325.0;935.0;0.0
1119906;172.31.69.25-18.219.193.20-80-50998-6;18.219.193.20;50998;172.31.69.25;80;16/02/2018 11:22:50 PM;3240;1;1;0.0;0.0;0.0;0.0
3250395;172.31.69.25-18.219.193.20-80-46598-6;172.31.69.25;80;18.219.193.20;46598;16/02/2018 11:25:34 PM;4604963;4;4;935.0;373.0;935.0;0.0
2027235;172.31.69.28-18.219.9.1-80-50881-6;172.31.69.28;80;18.219.9.1;50881;22/02/2018 12:25:35 AM;103850;4;3;935.0;268.0;935.0;0.0
1619598;172.31.69.28-18.216.24.42-80-56655-6;172.31.69.28;80;18.216.24.42;56655;22/02/2018 12:04:03 AM;1376;4;3;935.0;311.0;935.0;0.0
511728;172.31.69.25-18.218.115.60-80-54845-6;18.218.115.60;54845;172.31.69.25;80;20/02/2018 10:59:49;5420065;2;0;0.0;0.0;0.0;0.0
377372;172.31.69.25-18.219.193.20-80-59130-6;18.219.193.20;59130;172.31.69.25;80;16/02/2018 11:17:20 PM;7482;1;1;0.0;0.0;0.0;0.0
2163629;172.31.69.28-52.14.136.135-80-63879-6;172.31.69.28;80;52.14.136.135;63879;22/02/2018 12:35:16 AM;290251;4;3;935.0;248.0;935.0;0.0
949597;172.31.69.28-18.216.24.42-80-65249-6;18.216.24.42;65249;172.31.69.28;80;22/02/2018 12:16:19 AM;2138;1;1;0.0;0.0;0.0;0.0
806046;172.31.69.28-18.218.115.60-80-65478-6;18.218.115.60;65478;172.31.69.28;80;22/02/2018 12:09:05 AM;1765;1;1;0.0;0.0;0.0;0.0
1395331;172.31.69.28-18.216.200.189-80-50353-6;172.31.69.28;80;18.216.200.189;50353;21/02/2018 11:54:08 PM;12655;4;3;935.0;288.0;935.0;0.0
3289160;172.31.69.25-18.219.193.20-80-43562-6;172.31.69.25;80;18.219.193.20;43562;16/02/2018 11:25:52 PM;4331364;4;4;935.0;329.0;935.0;0.0
684422;172.31.69.28-18.219.9.1-80-57922-6;18.219.9.1;57922;172.31.69.28;80;22/02/2018 12:03:20 AM;5109;1;1;0.0;0.0;0.0;0.0
2735806;172.31.69.25-18.219.193.20-80-55372-6;172.31.69.25;80;18.219.193.20;55372;16/02/2018 11:21:48 PM;4230792;4;4;935.0;332.0;935.0;0.0
1190496;172.31.69.28-18.218.229.235-80-57408-6;18.218.229.235;57408;172.31.69.28;80;22/02/2018 12:31:24 AM;2653;1;1;0.0;0.0;0.0;0.0
2058705;172.31.69.28-18.219.9.1-80-54082-6;172.31.69.28;80;18.219.9.1;54082;22/02/2018 12:27:45 AM;1392;4;3;935.0;312.0;935.0;0.0
321537;172.31.69.28-18.219.9.1-80-54781-6;18.219.9.1;54781;172.31.69.28;80;21/02/2018 11:47:53 PM;13541;1;1;0.0;0.0;0.0;0.0
2793565;172.31.69.25-18.219.193.20-80-46140-6;172.31.69.25;80;18.219.193.20;46140;16/02/2018 11:22:13 PM;4727655;4;4;935.0;304.0;935.0;0.0
242408;172.31.69.25-18.219.193.20-80-35568-6;18.219.193.20;35568;172.31.69.25;80;16/02/2018 11:16:20 PM;18203;1;1;0.0;0.0;0.0;0.0
1889314;172.31.69.25-18.219.193.20-80-49694-6;172.31.69.25;80;18.219.193.20;49694;16/02/2018 11:15:40 PM;5723411;4;5;935.0;602.0;935.0;0.0
154211;172.31.69.25-18.219.193.20-80-52836-6;18.219.193.20;52836;172.31.69.25;80;16/02/2018 11:15:41 PM;3642;1;1;0.0;0.0;0.0;0.0
1250770;172.31.69.25-18.219.193.20-80-53260-6;18.219.193.20;53260;172.31.69.25;80;16/02/2018 11:23:48 PM;230;1;1;0.0;0.0;0.0;0.0
3303817;172.31.69.25-18.219.193.20-80-57570-6;172.31.69.25;80;18.219.193.20;57570;16/02/2018 11:25:58 PM;4173490;4;4;935.0;352.0;935.0;0.0
2253260;172.31.69.25-18.219.193.20-80-45636-6;172.31.69.25;80;18.219.193.20;45636;16/02/2018 11:18:18 PM;4180874;4;4;935.0;320.0;935.0;0.0
394078;172.31.69.25-18.219.193.20-80-51330-6;18.219.193.20;51330;172.31.69.25;80;16/02/2018 11:17:27 PM;1346;1;1;0.0;0.0;0.0;0.0
123200;172.31.69.28-18.219.9.1-80-61216-6;18.219.9.1;61216;172.31.69.28;80;21/02/2018 11:43:45 PM;4774;2;5;314.0;935.0;314.0;0.0
3120655;172.31.69.25-18.219.193.20-80-51812-6;172.31.69.25;80;18.219.193.20;51812;16/02/2018 11:24:37 PM;4346324;4;4;935.0;302.0;935.0;0.0
2043148;172.31.69.28-18.216.200.189-80-50340-6;172.31.69.28;80;18.216.200.189;50340;22/02/2018 12:26:41 AM;758164;4;3;935.0;313.0;935.0;0.0
1482375;172.31.69.25-18.219.193.20-80-37056-6;18.219.193.20;37056;172.31.69.25;80;16/02/2018 11:25:33 PM;56994;1;1;0.0;0.0;0.0;0.0
3466498;172.31.69.25-18.219.193.20-80-60056-6;172.31.69.25;80;18.219.193.20;60056;16/02/2018 11:27:10 PM;4531066;4;5;935.0;610.0;935.0;0.0
1351077;172.31.69.28-18.218.11.51-80-62273-6;172.31.69.28;80;18.218.11.51;62273;21/02/2018 11:52:17 PM;1318;4;3;935.0;261.0;935.0;0.0
1466549;172.31.69.25-18.219.193.20-80-48270-6;18.219.193.20;48270;172.31.69.25;80;16/02/2018 11:25:26 PM;59;1;1;0.0;0.0;0.0;0.0
629299;172.31.69.25-18.219.193.20-80-49732-6;18.219.193.20;49732;172.31.69.25;80;16/02/2018 11:19:11 PM;25379;1;1;0.0;0.0;0.0;0.0
2777078;172.31.69.25-18.219.193.20-80-57116-6;172.31.69.25;80;18.219.193.20;57116;16/02/2018 11:22:06 PM;4613834;4;4;935.0;374.0;935.0;0.0
988542;172.31.69.25-18.219.193.20-80-45220-6;18.219.193.20;45220;172.31.69.25;80;16/02/2018 11:21:50 PM;2071;1;1;0.0;0.0;0.0;0.0
920463;172.31.69.25-18.219.193.20-80-48048-6;18.219.193.20;48048;172.31.69.25;80;16/02/2018 11:21:20 PM;699;1;1;0.0;0.0;0.0;0.0
183622;172.31.69.28-18.219.32.43-80-64044-6;18.219.32.43;64044;172.31.69.28;80;21/02/2018 11:45:00 PM;1966;1;1;0.0;0.0;0.0;0.0
3122647;172.31.69.25-18.219.193.20-80-57066-6;172.31.69.25;80;18.219.193.20;57066;16/02/2018 11:24:38 PM;4462677;4;4;935.0;295.0;935.0;0.0
260696;192.168.56.1-97.74.104.201-36896-80-6;192.168.56.1;36896;97.74.104.201;80;12/06/2010 08:03:58 PM;8;0;2;0.0;0.0;0.0;0.0
2698456;172.31.69.25-18.219.193.20-80-34414-6;172.31.69.25;80;18.219.193.20;34414;16/02/2018 11:21:31 PM;4230833;4;5;935.0;361.0;935.0;0.0
1270799;172.31.69.28-52.14.136.135-80-56893-6;172.31.69.28;80;52.14.136.135;56893;21/02/2018 11:48:55 PM;1311;4;3;935.0;274.0;935.0;0.0
880062;172.31.69.25-18.219.193.20-80-51314-6;18.219.193.20;51314;172.31.69.25;80;16/02/2018 11:19:59 PM;62671405;4;6;307.0;935.0;307.0;0.0
3267611;172.31.69.25-18.219.193.20-80-39814-6;172.31.69.25;80;18.219.193.20;39814;16/02/2018 11:25:42 PM;4281930;4;4;935.0;391.0;935.0;0.0
191374;172.31.69.28-18.219.5.43-80-64565-6;18.219.5.43;64565;172.31.69.28;80;21/02/2018 11:45:10 PM;2387;1;1;0.0;0.0;0.0;0.0
2948032;172.31.69.25-18.219.193.20-80-52600-6;172.31.69.25;80;18.219.193.20;52600;16/02/2018 11:23:21 PM;4410895;3;6;935.0;308.0;935.0;0.0
1503527;172.31.69.25-18.219.193.20-80-40500-6;18.219.193.20;40500;172.31.69.25;80;16/02/2018 11:25:42 PM;1181;1;1;0.0;0.0;0.0;0.0
1052451;172.31.69.28-18.216.24.42-80-59182-6;18.216.24.42;59182;172.31.69.28;80;22/02/2018 12:22:00 AM;1258;1;1;0.0;0.0;0.0;0.0
319643;172.31.69.25-18.219.193.20-80-33704-6;18.219.193.20;33704;172.31.69.25;80;16/02/2018 11:16:54 PM;87765;2;1;0.0;0.0;0.0;0.0
336307;172.31.69.25-18.218.229.235-80-60189-6;18.218.229.235;60189;172.31.69.25;80;20/02/2018 10:33:17;17382434;2;0;0.0;0.0;0.0;0.0
1548157;172.31.69.25-18.219.193.20-80-54740-6;18.219.193.20;54740;172.31.69.25;80;16/02/2018 11:26:03 PM;1371;1;1;0.0;0.0;0.0;0.0
1448512;172.31.69.28-18.218.115.60-80-53934-6;172.31.69.28;80;18.218.115.60;53934;21/02/2018 11:56:21 PM;1211;4;3;935.0;316.0;935.0;0.0
769214;172.31.69.25-18.219.193.20-80-48140-6;18.219.193.20;48140;172.31.69.25;80;16/02/2018 11:20:13 PM;19420;1;1;0.0;0.0;0.0;0.0
1315899;172.31.69.25-18.219.193.20-80-39366-6;18.219.193.20;39366;172.31.69.25;80;16/02/2018 11:24:18 PM;32169;1;1;0.0;0.0;0.0;0.0
386555;172.31.69.28-18.218.11.51-80-57858-6;18.218.11.51;57858;172.31.69.28;80;21/02/2018 11:50:26 PM;7501;1;1;0.0;0.0;0.0;0.0
399508;172.31.69.25-18.216.200.189-80-63261-6;18.216.200.189;63261;172.31.69.25;80;20/02/2018 10:39:46;28373257;2;0;0.0;0.0;0.0;0.0
1112490;172.31.69.28-18.218.55.126-80-50908-6;18.218.55.126;50908;172.31.69.28;80;22/02/2018 12:25:58 AM;2840;1;1;0.0;0.0;0.0;0.0
328252;172.31.69.28-18.218.115.60-80-50342-6;18.218.115.60;50342;172.31.69.28;80;21/02/2018 11:48:02 PM;9899;2;5;339.0;935.0;339.0;0.0
3476308;172.31.69.25-18.219.193.20-80-60094-6;172.31.69.25;80;18.219.193.20;60094;16/02/2018 11:27:15 PM;3732481;4;4;935.0;318.0;935.0;0.0
505626;172.31.69.25-18.218.55.126-80-49266-6;18.218.55.126;49266;172.31.69.25;80;20/02/2018 10:45:34;16385327;2;0;0.0;0.0;0.0;0.0
2849713;172.31.69.25-18.219.193.20-80-54146-6;172.31.69.25;80;18.219.193.20;54146;16/02/2018 11:22:42 PM;37740;0;4;0.0;0.0;0.0;0.0
9612;172.31.69.25-18.216.200.189-80-52305-6;18.216.200.189;52305;172.31.69.25;80;20/02/2018 10:16:05;1457350;3;4;20.0;964.0;20.0;0.0
1192866;172.31.69.28-18.218.229.235-80-57646-6;18.218.229.235;57646;172.31.69.28;80;22/02/2018 12:31:34 AM;1567;1;1;0.0;0.0;0.0;0.0
904486;172.31.69.25-18.219.193.20-80-58816-6;18.219.193.20;58816;172.31.69.25;80;16/02/2018 11:21:13 PM;9187;1;1;0.0;0.0;0.0;0.0
1781395;172.31.69.28-18.219.9.1-80-59143-6;172.31.69.28;80;18.219.9.1;59143;22/02/2018 12:11:45 AM;173074;4;3;935.0;288.0;935.0;0.0
1781837;172.31.69.28-18.218.115.60-80-54774-6;172.31.69.28;80;18.218.115.60;54774;22/02/2018 12:11:46 AM;94193;4;3;935.0;299.0;935.0;0.0
861715;172.31.69.28-18.219.9.1-80-59192-6;18.219.9.1;59192;172.31.69.28;80;22/02/2018 12:11:47 AM;2027;1;1;0.0;0.0;0.0;0.0
510715;172.31.69.25-18.219.32.43-80-55955-6;18.219.32.43;55955;172.31.69.25;80;20/02/2018 11:00:32;28008373;2;0;0.0;0.0;0.0;0.0
2221323;172.31.69.25-18.219.193.20-80-39084-6;172.31.69.25;80;18.219.193.20;39084;16/02/2018 11:18:04 PM;4397610;4;4;935.0;309.0;935.0;0.0
761242;172.31.69.25-18.219.193.20-80-56070-6;18.219.193.20;56070;172.31.69.25;80;16/02/2018 11:20:09 PM;9898;1;1;0.0;0.0;0.0;0.0
3027741;172.31.69.25-18.219.193.20-80-48746-6;172.31.69.25;80;18.219.193.20;48746;16/02/2018 11:23:56 PM;4440035;4;4;935.0;363.0;935.0;0.0
767622;172.31.69.25-18.219.193.20-80-43600-6;18.219.193.20;43600;172.31.69.25;80;16/02/2018 11:20:12 PM;28086;1;1;0.0;0.0;0.0;0.0
530794;172.31.69.28-18.218.11.51-80-55915-6;18.218.11.51;55915;172.31.69.28;80;21/02/2018 11:56:27 PM;975;1;1;0.0;0.0;0.0;0.0
1973864;172.31.69.28-18.216.24.42-80-59312-6;172.31.69.28;80;18.216.24.42;59312;22/02/2018 12:22:05 AM;34503;4;3;935.0;298.0;935.0;0.0
1726021;172.31.69.28-18.216.24.42-80-50841-6;172.31.69.28;80;18.216.24.42;50841;22/02/2018 12:09:04 AM;1761;4;3;935.0;324.0;935.0;0.0
2039448;172.31.69.25-18.219.193.20-80-36990-6;172.31.69.25;80;18.219.193.20;36990;16/02/2018 11:15:49 PM;61567673;4;5;935.0;353.0;935.0;0.0
228985;172.31.69.28-18.219.9.1-80-50144-6;18.219.9.1;50144;172.31.69.28;80;21/02/2018 11:45:57 PM;20284;1;1;0.0;0.0;0.0;0.0
1447878;172.31.69.25-18.219.193.20-80-53130-6;18.219.193.20;53130;172.31.69.25;80;16/02/2018 11:25:17 PM;23032;1;1;0.0;0.0;0.0;0.0
1307018;172.31.69.28-18.218.115.60-80-56113-6;172.31.69.28;80;18.218.115.60;56113;21/02/2018 11:50:26 PM;2387;4;3;935.0;315.0;935.0;0.0
1003307;172.31.69.25-18.219.193.20-80-51908-6;18.219.193.20;51908;172.31.69.25;80;16/02/2018 11:21:57 PM;5672;1;1;0.0;0.0;0.0;0.0
1948866;172.31.69.25-18.219.193.20-80-34720-6;172.31.69.25;80;18.219.193.20;34720;16/02/2018 11:16:08 PM;3691570;4;4;935.0;301.0;935.0;0.0
